"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m97921907328","2023-10-04","","2023-10-13","Maison margiela chalk white sweatshirt","Completed","California","Georgia","150.00","7.99","0.00","15.00","5.08","0.00","129.92","13.13","0.00"
"m25706455700","2023-10-07","","2023-10-14","Coach Blue shoulder bag","Completed","Pennsylvania","Georgia","177.00","7.99","0.00","17.70","5.86","0.00","153.44","11.10","0.00"
"m99637033760","2023-10-08","","2023-10-16","Ugg Boots","Completed","Texas","Georgia","34.00","9.50","0.00","3.40","1.76","0.00","28.84","3.59","0.00"
"m11619795688","2023-10-10","","2023-10-16","Dior jewelry box 2","Completed","Illinois","Georgia","35.00","4.99","0.00","3.50","1.66","0.00","29.84","4.00","0.00"
"m71429040465","2023-10-12","","2023-10-16","Roger vivier black leather boots","Completed","Illinois","Georgia","150.00","0.00","7.99","15.00","4.85","0.00","122.16","15.38","0.00"
"m80590677757","2023-10-12","","2023-10-17","Clinique eyeshadow + mascara Sample","Completed","Texas","Georgia","7.50","4.30","0.00","0.75","0.84","0.00","5.91","0.97","0.00"
"m60105603767","2023-10-10","","2023-10-17","Zara velvet mini skirt","Completed","New York","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","0.00","0.00"
"m60689899700","2023-10-11","","2023-10-17","Aritiza TNA jacket","Completed","Iowa","Georgia","20.00","7.99","0.00","2.00","1.31","0.00","16.69","1.40","0.00"
"m19785385164","2023-10-10","","2023-10-17","Stussy black hoodie","Completed","Washington","Georgia","35.00","7.99","0.00","3.50","1.75","0.00","29.75","3.96","0.00"
"m99771090082","2023-10-13","","2023-10-20","Shu uemura 972","Completed","California","Georgia","12.00","4.30","0.00","1.20","0.97","0.00","9.83","1.23","0.00"
"m64481396900","2023-10-15","","2023-10-21","New balance sneaker","Completed","Texas","Georgia","40.00","7.99","0.00","4.00","1.89","0.00","34.11","3.96","0.00"
"m76273267389","2023-10-16","","2023-10-23","MARC JACOBS EYE-CONIC 800 FLAM(BOY)ANT FROST EYESHADOW PALETTE","Completed","Oklahoma","Georgia","21.00","4.99","0.00","2.10","1.25","0.00","17.65","1.79","0.00"
"m10852845405","2023-10-18","","2023-10-23","Lululemon Athletica Rain Rebel Jacket","Completed","Utah","Georgia","34.00","7.40","0.00","3.40","1.70","0.00","28.90","2.47","0.00"
"m93114710854","2023-10-23","","2023-10-26","Paula's Choice - RESIST Barrier Repair Moisturizer with Retinol","Completed","South Carolina","Georgia","10.00","4.30","0.00","1.00","0.91","0.00","8.09","1.14","0.00"
"m25707386071","2023-10-20","","2023-10-26","Burberry small box","Completed","Utah","Georgia","9.00","7.40","0.00","0.90","0.98","0.00","7.12","0.60","0.00"
"m55871283159","2023-10-22","","2023-10-26","BDG CROPTOP KNITWEAR","Completed","Mississippi","Georgia","20.00","4.99","0.00","2.00","1.22","0.00","16.78","1.75","0.00"
